ID,Course ID,Course Title,Course Description,Course Prerequisites,Department,Department ID
0,01:013:101-102,"Elementary Hausa (4,4)","Development of oral and written proficiency. Students   exposed to, gain an appreciation for, and possibly identify with a number   of African peoples and cultures.",,Africana Studies,013
1,01:013:105-106,"Elementary Swahili (4,4)","Development of oral and written proficiency. Students   exposed to, gain an appreciation for, and possibly identify with a number   of African peoples and cultures.",,Africana Studies,013
2,01:013:109-110,"Elementary Zulu (4,4)",Development of written and oral proficiency.,,Africana Studies,013
3,01:013:127-128,"Elementary Arabic (4,4)",Development of oral and written proficiency.,,Africana Studies,013
4,01:013:133-134,"Elementary Yoruba (4,4)",Introduction to the standard Yoruba language and   culture. Provides knowledge of the spoken and written language.,,Africana Studies,013
5,01:013:205,Introduction to African   Literature in Translation (3),Survey of contemporary creative writing by black   Africans. Literary and nonliterary characteristics. Problems connected with   the serious study and criticism of African literature.,,Africana Studies,013
6,01:013:209-210,"Intermediate Zulu (4,4)",Continued development of written and oral proficiency.   Elementary literary material. Detailed explanation of the   underlying linguistic structure of the language.,Prerequisite: 01:013:109-110.,Africana Studies,013
7,01:013:227-228,"Intermediate Arabic (4,4)",Continued development of oral and written proficiency.   Elementary literary material. Detailed   explanation of the underlying linguistic structures of the language.,,Africana Studies,013
8,01:013:231-232,"Intermediate Hausa (4,4)",Continued development of oral and written proficiency.   Elementary literary material. Detailed   explanation of the underlying linguistic structures of the language and   continued exposure to the culture.,,Africana Studies,013
9,01:013:235-236,"Intermediate Swahili (4,4)",Continued development of oral and written proficiency.   Elementary literary material. Detailed   explanation of the underlying linguistic structures of the language.,,Africana Studies,013
10,01:013:237-238,"Intermediate Yoruba (4,4)",Continued development of written and oral proficiency.   Elementary literary material. Detailed explanation of the   underlying linguistic structures of the language.,Prerequisite: 01:013:133-134.,Africana Studies,013
11,"06:090:273,274","The African Language Experience   (1.5,1.5)",Development of understanding of the linguistic map of   Africa with consideration of language policies and their social and    political implications.,Limited to and required of residents of the Africana   House. May not be used in satisfaction of major requirements. Courses   may not be repeated.,Africana Studies,013
12,01:013:301,African Linguistics (3),"Study of the genetic relationships of African   languages and some of the phonological, morphological, and syntactic   features of these languages.",,Africana Studies,013
13,01:013:309-310,"Advanced Zulu (4,4)","Introduction to the major genres of Zulu oral and   written literature. Development of speaking and listening fluency, and   command of colloquial and idiomatic usage. Introduction to other Nguni   languages and the four-language jargon spoken in Gauteng.",Prerequisites: 01:013:109-110 and 209-210 or the group   project abroad for isiZulu in South Africa.,Africana Studies,013
14,01:013:311,African Folklore (3),Study of forms and problems of folklore in continental   Africa and relationships to forms of folklore elsewhere in the African   diaspora.,,Africana Studies,013
15,"01:013:317,318","Africana Cultures Today (1.5,1.5)","Contemporary cultural, social, and political life in   Africana countries, with emphasis on the   daily experience.",,Africana Studies,013
16,01:013:322,Independent Study (1-4),,Prerequisites: Language courses based on permission of   instructor. Student must be in good academic standing.,Africana Studies,013
17,01:013:327-328,"Advanced Arabic (3,3)","Introduction to literary and popular forms of modern   Arabic and to general aspects of Arab culture. Readings on contemporary   themes by well-known authors; typical articles from journals and   newspapers. Development of skills in translation, composition, and oral   expression within the context of culturally relevant topics.",Prerequisites: 01:013:127-128 and 227-228; or   permission of instructor.,Africana Studies,013
18,01:013:335-336,"Advanced Swahili (4,4)",Literary expressions as related to the written and   spoken aspects of culture.,Prerequisite: 01:013:235-236.,Africana Studies,013
19,01:013:337-338,"Advanced Yoruba (4,4)",Literary expressions as related to the written and   spoken aspects of culture.,Prerequisite: 01:013:237-238.,Africana Studies,013
20,"01:013:437,438","Twentieth-Century Arabic   Literature (3,3)","Representative works of Arabic literature in   translation, including poetry, the novel, the short story, and plays.   Emphasis on how new literary trends reflect sociocultural change in the   Arab world, including debates over tradition, gender relations, and   cultural pluralism.","Prerequisite: At least one prior course in literature   (English or world) or one course in Middle Eastern studies. Credit not   given for both these courses and 01:195:437,438 or 01:685:437,438.",Africana Studies,013
21,01:014:103,Introduction to Africana Studies (3),"Interdisciplinary survey of the social, economic,   political, and historical aspects of the black experience in America and   abroad.",,Africana Studies,014
22,01:014:107,African-American Folklore (3),Introductory course on the forms and applications of   African-American folklore.,,Africana Studies,014
