ID,Course ID,Course Title,Course Description,Course Prerequisites,Department,Department ID
0,01:013:102,"Elementary Hausa (4,4)","Development of oral and written proficiency. Students   exposed to, gain an appreciation for, and possibly identify with a number   of African peoples and cultures.",,Africana Studies,013
0,01:013:101,"Elementary Hausa (4,4)","Development of oral and written proficiency. Students   exposed to, gain an appreciation for, and possibly identify with a number   of African peoples and cultures.",,Africana Studies,013
1,01:013:106,"Elementary Swahili (4,4)","Development of oral and written proficiency. Students   exposed to, gain an appreciation for, and possibly identify with a number   of African peoples and cultures.",,Africana Studies,013
1,01:013:105,"Elementary Swahili (4,4)","Development of oral and written proficiency. Students   exposed to, gain an appreciation for, and possibly identify with a number   of African peoples and cultures.",,Africana Studies,013
2,01:013:110,"Elementary Zulu (4,4)",Development of written and oral proficiency.,,Africana Studies,013
2,01:013:109,"Elementary Zulu (4,4)",Development of written and oral proficiency.,,Africana Studies,013
3,01:013:128,"Elementary Arabic (4,4)",Development of oral and written proficiency.,,Africana Studies,013
3,01:013:127,"Elementary Arabic (4,4)",Development of oral and written proficiency.,,Africana Studies,013
4,01:013:134,"Elementary Yoruba (4,4)",Introduction to the standard Yoruba language and   culture. Provides knowledge of the spoken and written language.,,Africana Studies,013
4,01:013:133,"Elementary Yoruba (4,4)",Introduction to the standard Yoruba language and   culture. Provides knowledge of the spoken and written language.,,Africana Studies,013
5,01:013:205,Introduction to African   Literature in Translation (3),Survey of contemporary creative writing by black   Africans. Literary and nonliterary characteristics. Problems connected with   the serious study and criticism of African literature.,,Africana Studies,013
6,01:013:210,"Intermediate Zulu (4,4)",Continued development of written and oral proficiency.   Elementary literary material. Detailed explanation of the   underlying linguistic structure of the language.,Prerequisite: 01:013:109-110.,Africana Studies,013
6,01:013:209,"Intermediate Zulu (4,4)",Continued development of written and oral proficiency.   Elementary literary material. Detailed explanation of the   underlying linguistic structure of the language.,Prerequisite: 01:013:109-110.,Africana Studies,013
7,01:013:228,"Intermediate Arabic (4,4)",Continued development of oral and written proficiency.   Elementary literary material. Detailed   explanation of the underlying linguistic structures of the language.,,Africana Studies,013
7,01:013:227,"Intermediate Arabic (4,4)",Continued development of oral and written proficiency.   Elementary literary material. Detailed   explanation of the underlying linguistic structures of the language.,,Africana Studies,013
