ID,Course ID,Course Title,Course Description,Course Prerequisites,Department,Department ID
0,01:198:110,Introduction to Computers and Their   Application (3),"General survey about what computers are and how they   are used, including an introduction to computer programming and   contemporary application packages.","Lec. 2 hrs., rec. 1 hr. Students planning further   study in computer science should take 01:198:111. Credit not given for both   this course and 01:198:170. Not open to students with a declared major in   computer science or a prebusiness major.",Computer Science,198
1,01:198:111,Introduction to Computer Science (4),"Intensive introduction to computer science. Problem   solving through decomposition. Writing, debugging, and analyzing programs   in Java. Algorithms for sorting and searching. Introduction to data   structures, recursion.","Prerequisite: 01:640:115 or placement in CALC1. For   students in science, mathematics, and engineering. Credit not given for   both this course and 14:332:252.",Computer Science,198
2,01:198:112,Data Structures (4),"Queues, stacks, trees, lists, and recursion; sorting   and searching; hashing; complexity of algorithms; graph   representations and algorithms.",Prerequisites: 01:198:111 and CALC1 or 14:332:252.   Credit not given for both this course and 14:332:351.,Computer Science,198
3,01:198:113,Introduction to Software Methodology   (4),Designing and implementing large software using   standard software techniques and tools in JAVA and C. Persistent program   objects. Memory management and code maintenance.,Prerequisite: 01:198:112 or 14:332:351.,Computer Science,198
4,01:198:170,Computer Applications for Business   (3),"Introduction to business applications of spreadsheet   software, computer technology, data communications, network applications,   and structured programming.","Lec. 2 hrs., rec. 1 hr. This course is for students   seeking admission to Rutgers Business School: Undergraduate-New   Brunswick. Limited to prebusiness and business majors. Credit not given for   both this course and 01:198:110. Not open to students with a declared major   in computer science.",Computer Science,198
5,01:198:205,Introduction to Discrete Structures I (4),"Sets, propositional and predicticate logic, logic design, relations and
their properties, and definitions and proofs by induction with
applications to the analysis of loops of programs.",Prerequisites: 01:198:111 and 01:640:1552. Credit not give for both this course and 14:332:202.,Computer Science,198
6,01:198:206,Introduction to Discrete Structures II (4),"Counting (binomial coefficients, combinations), methods of finding and
solving recurrence relations, discrete probability,  regular
expressions and finite automata, basic graph theory.",Prerequisite: 01:198:205 or 14:332:202 ad 01:640:152. Credit not given for both this course and 01:640:477.,Computer Science,198
7,01:198:211,Computer Architecture (4),"Levels of organization in digital computer systems; assembly language
programming techniques; comparative machine architectures; assemblers,
loaders, and operating systems. Programming assignments in assembly
language.",Prerequisite: 01:198:112. Credit not given for both this course and 14:332:331.,Computer Science,198
8,01:198:314,Principles of Programming Languages   (4),"Syntax, semantics, names and values, control   structures, data types, procedures and parameters, scope rules, applicative   languages, recursion, very high-level languages, dynamic structures, and   object-oriented languages.",Prerequisites: 01:198:112 and 205 or 14:332:202.,Computer Science,198
9,01:198:323,Numerical Analysis and Computing (4),"Approximation, interpolation, numerical   differentiation, integration; numerical   solution of nonlinear equations, linear algebraic systems, and ordinary   differential equations.",Prerequisites: 01:640:152 and 250.,Computer Science,198
